Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Single Arm Resistance Band Low Row,Beginner,Resistance Band,Latissimus Dorsi,,Upper Body
Single Arm Resistance Band Mid Row,Beginner,Resistance Band,Latissimus Dorsi,,Upper Body
Single Arm Resistance Band Chest Press,Beginner,Resistance Band,Pectoralis Major,Triceps Brachii,Upper Body
Resistance Band Reverse Grip Bicep Curl,Beginner,Resistance Band,Brachioradialis,Biceps Brachii,Upper Body
Resistance Band Alternating Reverse Grip Bicep Curl,Beginner,Resistance Band,Brachioradialis,Biceps Brachii,Upper Body
Resistance Band Hammer Curl,Beginner,Resistance Band,Biceps Brachii,Brachialis,Upper Body
Battle Rope Jumping Jack,Novice,Battle Ropes,Lateral Deltoids,,Full Body
Battle Rope Squat Jump Power Slam,Intermediate,Battle Ropes,Quadriceps Femoris,Rectus Abdominis,Full Body
Battle Rope Alternating Side Slam,Novice,Battle Ropes,Obliques,,Core
Battle Rope Squat Jump Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Rectus Abdominis,Full Body
Battle Rope In and Out Squat Jump Power Slam,Intermediate,Battle Ropes,Quadriceps Femoris,Rectus Abdominis,Full Body
Battle Rope In and Out Squat Jump Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Rectus Abdominis,Full Body
Bodyweight In and Out Squat Jump,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Miniband Thigh In and Out Squat Jump,Novice,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Miniband Ankle In and Out Squat Jump,Intermediate,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Resistance Band Alternating Hammer Curl,Beginner,Resistance Band,Biceps Brachii,Brachialis,Upper Body
Resistance Band Y Raise,Beginner,Resistance Band,Posterior Deltoids,,Upper Body
Battle Rope Isometric Split Squat Power Slam,Intermediate,Battle Ropes,Rectus Abdominis,Quadriceps Femoris,Full Body
Battle Rope Alternating Split Squat Jump Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Biceps Brachii,Full Body
Battle Rope Alternating Split Squat Jump Power Slam,Intermediate,Battle Ropes,Quadriceps Femoris,Rectus Abdominis,Full Body
Single Arm Kettlebell Front Rack Contralateral Cossack Squat,Novice,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Resistance Band Cuban Press,Beginner,Resistance Band,Posterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Overhead Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Resistance Band Tall Kneeling Cuban Press,Beginner,Resistance Band,Posterior Deltoids,Triceps Brachii,Upper Body
Superband Pull Apart,Beginner,Superband,Posterior Deltoids,,Upper Body
Resistance Band Tall Kneeling Face Pull,Beginner,Resistance Band,Posterior Deltoids,Infraspinatus,Upper Body
Resistance Band Overhead Press,Beginner,Resistance Band,Anterior Deltoids,Triceps Brachii,Upper Body
Resistance Band Alternating Overhead Press,Beginner,Resistance Band,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Overhead Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Suspension Skull Crusher,Beginner,Suspension Trainer,Triceps Brachii ,Anconeus,Upper Body
Slider Double Dumbbell Front Rack Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Dumbbell Suitcase Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Dumbbell Overhead Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Double Dumbbell Incline Bench Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Double Dumbbell Decline Bench Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Dumbbell Crush Grip Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Dumbbell Crush Grip Incline Bench Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Dumbbell Crush Grip Decline Bench Skull Crusher,Beginner,Dumbbell,Triceps Brachii ,Anconeus,Upper Body
Double Dumbbell Bent Over Row,Beginner,Dumbbell,Latissimus Dorsi,Rhomboids,Upper Body
EZ Bar Reverse Grip Bent Over Row,Novice,EZ Bar,Latissimus Dorsi,Rhomboids,Upper Body
Single Arm Kettlebell Overhead Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Bottoms Up Front Rack Foot Elevated Cossack Squat,Advanced,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Bent Over Row,Beginner,Dumbbell,Latissimus Dorsi,Rhomboids,Upper Body
Single Arm Dumbbell Knee Supported Row,Beginner,Dumbbell,Latissimus Dorsi,,Upper Body
Double Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,Advanced,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Bottoms Up Overhead Foot Elevated Cossack Squat,Advanced,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Front Rack Foot Elevated Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Overhead Low Switch Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Overhead Foot Elevated Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Pullover,Beginner,Dumbbell,Latissimus Dorsi,Pectoralis Major,Upper Body
Single Arm Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Incline Bench Pullover,Beginner,Dumbbell,Latissimus Dorsi,Pectoralis Major,Upper Body
Single Arm Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Overhead Alternating Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Overhead Low Switch Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Tire Incline Push Up,Beginner,Tire,Pectoralis Major,Triceps Brachii,Upper Body
Double Dumbbell Close Grip Decline Bench Press,Beginner,Dumbbell,Triceps Brachii ,Pectoralis Major,Upper Body
Bodyweight Eccentric Push Up,Beginner,Bodyweight,Pectoralis Major,Triceps Brachii,Upper Body
Double Dumbbell Bicep Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Cable Knee Hover Quadruped Fire Hydrant,Advanced,Cable,Gluteus Maximus,Gluteus Medius,Lower Body
Double Dumbbell Incline Bench Bicep Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Seated Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Alternating Double Dumbbell Seated Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Incline Bench Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Single Arm Dumbbell Half Kneeling Windmill,Intermediate,Dumbbell,Obliques,Rectus Abdominis,Core
Double Dumbbell Windmill,Advanced,Dumbbell,Obliques,Rectus Abdominis,Core
Alternating Double Dumbbell Incline Bench Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Cyclist Thruster,Novice,Dumbbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,Advanced,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Alternating Double Dumbbell Cyclist Thruster,Novice,Dumbbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Kettlebell Goblet Alternating Pistol Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Pistol Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Alternating Pistol Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Bent Press,Intermediate,Dumbbell,Anterior Deltoids,Triceps Brachii,Full Body
Single Arm Dumbbell Half Kneeling Bent Press,Intermediate,Dumbbell,Anterior Deltoids,Triceps Brachii,Full Body
Double Dumbbell Seated Zottman Curl,Beginner,Dumbbell,Biceps Brachii,Brachioradialis,Upper Body
Cable Straight Bar Tricep Pushdown,Beginner,Cable,Triceps Brachii ,Anconeus,Upper Body
Cable Straight Bar Reverse Grip Tricep Pushdown,Beginner,Cable,Triceps Brachii ,,Upper Body
Alternating Double Dumbbell Zottman Curl,Beginner,Dumbbell,Biceps Brachii,Brachioradialis,Upper Body
Alternating Double Dumbbell Seated Zottman Curl,Beginner,Dumbbell,Biceps Brachii,Brachioradialis,Upper Body
Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,Beginner,Dumbbell,Triceps Brachii ,Anterior Deltoids,Upper Body
Single Arm Dumbbell Overhead Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Dumbbell Seated Overhead Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Seated Bicep Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Incline Bench Zottman Curl,Beginner,Dumbbell,Biceps Brachii,Brachioradialis,Upper Body
Alternating Double Dumbbell Incline Bench Zottman Curl,Beginner,Dumbbell,Biceps Brachii,Brachioradialis,Upper Body
Alternating Double Dumbbell Seated Overhead Press,Beginner,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Floor Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Floor Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Alternating Double Kettlebell Floor Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Overhead Alternating Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Crush Grip Seated Overhead Tricep Extension,Beginner,Dumbbell,Triceps Brachii ,Anterior Deltoids,Upper Body
Alternating Double Kettlebell Bent Over Row,Beginner,Kettlebell,Latissimus Dorsi,Rhomboids,Upper Body
Battle Rope Double Wave,Beginner,Battle Ropes,Biceps Brachii,,Upper Body
Double Dumbbell Front Raise,Beginner,Dumbbell,Anterior Deltoids,Pectoralis Major,Upper Body
Double Dumbbell Incline Bench Prone Lateral Raise,Beginner,Dumbbell,Posterior Deltoids,,Upper Body
Dumbbell Crush Grip Seated Bicep Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Double Dumbbell Incline Bench Prone Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Single Arm Dumbbell Overhead Low Switch Cossack Squat,Advanced,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Goblet Foot Elevated Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Ipsilateral Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Foot Elevated Ipsilateral Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Macebell Order Ipsilateral Cossack Squat,Novice,Macebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Macebell Order Foot Elevated Ipsilateral Cossack Squat,Intermediate,Macebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dummbell Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Alternating Double Dumbbell Incline Bench Prone Hammer Curl,Beginner,Dumbbell,Biceps Brachii,Brachialis,Upper Body
Single Arm Dumbbell Incline Bench Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Dumbbell Decline Bench Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Copenhagen Plank,Intermediate,Kettlebell,Adductor Magnus,,Lower Body
Double Dumbbell Floor Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Glute Bridge Isometric Bench Press,Intermediate,Kettlebell,Pectoralis Major,Triceps Brachii,Full Body
Alternating Double Dumbbell Floor Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Kettlebell Seated Single Leg Tibialis Raise,Novice,Kettlebell,Tibialis Anterior,Extensor Digitorum Longus,Lower Body
Double Kettlebell Seated Calf Raise,Beginner,Kettlebell,Soleus,Gastrocnemius,Lower Body
Double Kettlebell Seated Feet Elevated Calf Raise,Beginner,Kettlebell,Soleus,Gastrocnemius,Lower Body
Alternating Double Dumbbell Thruster,Novice,Dumbbell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Dumbbell Floor Press,Beginner,Dumbbell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Macebell Inside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Single Arm Macebell Outside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Single Arm Macebell Inside Circle to Outside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Macebell Inside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Macebell Outside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Macebell Inside Circle to Outside Circle,Intermediate,Macebell,Rectus Abdominis,Gluteus Maximus,Full Body
Battle Rope Clap,Beginner,Battle Ropes,Lateral Deltoids,Biceps Brachii,Upper Body
Battle Rope Inward Circle,Beginner,Battle Ropes,Anterior Deltoids,Biceps Brachii,Upper Body
Battle Rope Outward Circle,Beginner,Battle Ropes,Anterior Deltoids,Biceps Brachii,Upper Body
Double Kettlebell Tall Kneeling Shrug,Beginner,Kettlebell,Upper Trapezius,Levator Scapulae,Upper Body
Alternating Double Dumbbell Bent Over Row,Beginner,Dumbbell,Latissimus Dorsi,Rhomboids,Upper Body
Battle Rope Alternating Cossack Squat Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Adductor Magnus,Full Body
Bodyweight Low Switch Cossack Squat,Beginner,Bodyweight,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Zercher Alternating Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Zercher Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Zercher Low Switch Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Zercher Foot Elevated Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Zombie Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zombie Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Cossack Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Alternating Cossack Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Contralateral Cossack Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Alternating Cossack Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Ipsilateral Cossack Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zombie Cyclist Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Suspension Foot Elevated Ipsilateral Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Suspension Ipsilateral Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Battle Rope Low Switch Cossack Squat Alternating Wave,Intermediate,Battle Ropes,Quadriceps Femoris,Adductor Magnus,Full Body
Plate Overhead Cossack Squat,Intermediate,Weight Plate,Quadriceps Femoris,Adductor Magnus,Lower Body
Plate Overhead Alternating Cossack Squat,Intermediate,Weight Plate,Quadriceps Femoris,Adductor Magnus,Lower Body
Plate Overhead Low Switch Cossack Squat,Intermediate,Weight Plate,Quadriceps Femoris,Adductor Magnus,Lower Body
Plate Overhead Foot Elevated Cossack Squat,Intermediate,Weight Plate,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Cossack Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Alternating Cossack Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Low Switch Cossack Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Foot Elevated Cossack Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Front Rack Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Front Rack Alternating Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Front Rack Low Switch Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Front Rack Foot Elevated Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Bulgarian Split Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Dead Bug,Novice,Weight Plate,Rectus Abdominis,Obliques,Core
Sandbag Front Rack Bulgarian Split Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Bulgarian Split Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Russian Twist,Novice,Weight Plate,Obliques,Rectus Abdominis,Core
Plate Feet Elevated Russian Twist,Novice,Weight Plate,Obliques,Rectus Abdominis,Core
Bodyweight Feet Elevated Russian Twist,Novice,Bodyweight,Obliques,Rectus Abdominis,Core
Bodyweight Russian Twist,Beginner,Bodyweight,Obliques,Rectus Abdominis,Core
Landmine Russian Twist,Novice,Landmine,Obliques,Rectus Abdominis,Core
Bodyweight Alternating Hawaiian Squat,Advanced,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Hawaiian Squat,Advanced,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Hawaiian Squat,Intermediate,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Hand Assisted Hawaiian Squat,Intermediate,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Incline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Incline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Alternating Double Kettlebell Incline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Seated Overhead Press,Beginner,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Knee Supported Row,Beginner,Kettlebell,Latissimus Dorsi,,Upper Body
Macebell Offset Thruster,Intermediate,Macebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Dummbell Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dummbell Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Seated Overhead Press,Beginner,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Suitcase Cyclist Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Cyclist Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Kettlebell Seated Overhead Press,Beginner,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Macebell Order Cyclist Squat,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Cyclist Squat,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Cyclist Squat,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Cyclist Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Cyclist Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Cyclist Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Landmine Goblet Cyclist Squat,Novice,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Tall Kneeling Shrug,Beginner,Dumbbell,Upper Trapezius,Levator Scapulae,Upper Body
Single Arm Kettlebell Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Dumbbell Goblet Pistol Squat,Advanced,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Alternating Pistol Squat,Advanced,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Kettlebell Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Alternating Pistol Squat,Advanced,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zombie Pistol Squat,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Pistol Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Pistol Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Pistol Squat,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Crush Grip Front Rack Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Decline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Decline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Macebell Order Squat,Beginner,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Squat,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Alternating Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Back Rack Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Back Rack Low Switch Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Sandbag Back Rack Foot Elevated Cossack Squat,Novice,Sandbag,Quadriceps Femoris,Adductor Magnus,Lower Body
Bulgarian Bag Back Rack Curtsy Lunge,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Alternating Curtsy Lunge,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Kettlebell Decline Bench Press,Beginner,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Suspension Ipsilateral Skater Squat,Intermediate,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Walking Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Resistance Band Pull Apart,Beginner,Resistance Band,Posterior Deltoids,,Upper Body
Sandbag Bent Over Row,Beginner,Sandbag,Latissimus Dorsi,Rhomboids,Upper Body
Double Dumbbell Bent Over Reverse Fly,Beginner,Dumbbell,Posterior Deltoids,,Upper Body
Single Arm Dumbbell Knee Supported Tricep Kickback,Beginner,Dumbbell,Triceps Brachii,,Upper Body
Double Dumbbell Incline Bench Prone Tricep Kickback,Beginner,Dumbbell,Triceps Brachii,,Upper Body
Single Arm Cable Tricep Kickback,Beginner,Cable,Triceps Brachii,,Upper Body
Single Arm Dumbbell Tricep Kickback,Beginner,Dumbbell,Triceps Brachii ,,Upper Body
Slider Dumbbell Goblet Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Dumbbell Front Rack Contralateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Dumbbell Front Rack Ipsilateral Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
